#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/,STL/,Season
16,Courtney Williams,44,1260,599,248,580,42.8,58,149,38.9,45,53,84.9,23,193,216,271,55,14,101,86,714,2.68,0.55,2017
18,Kiki Iriafen,44,1185,584,222,455,48.8,2,11,18.2,138,176,78.4,114,262,376,69,26,7,96,126,695,0.72,0.27,2017
19,Rhyne Howard,33,1151,577,187,499,37.5,102,317,32.2,101,118,85.6,31,117,148,153,51,27,55,96,572,2.78,0.93,2017
20,Breanna Stewart,31,948,566,188,408,46.1,21,87,24.1,169,202,83.7,31,172,203,108,42,42,60,59,648,1.8,0.7,2017
21,Brionna Jones,44,1169,564,225,427,52.7,12,46,26.1,102,132,77.3,136,183,319,95,48,36,64,109,766,1.48,0.75,2017
22,Azurá Stevens,44,1249,561,204,427,47.8,74,194,38.1,79,100,79,74,278,352,94,54,47,64,98,800,1.47,0.84,2017
23,Rickea Jackson,38,1173,558,205,483,42.4,65,187,34.8,83,98,84.7,38,84,122,64,23,14,78,71,410,0.82,0.3,2017
24,Kayla McBride,39,1219,554,178,428,41.6,103,261,39.5,95,105,90.5,10,79,89,137,49,3,67,52,505,2.05,0.73,2017
25,Brittney Sykes,39,1193,550,174,457,38.1,31,102,30.4,171,219,78.1,20,103,123,155,48,14,98,99,461,1.58,0.49,2017
26,Kamilla Cardoso,40,1102,543,223,422,52.8,1,2,50,96,133,72.2,118,223,341,98,14,47,97,113,710,1.01,0.14,2017
27,Veronica Burton,44,1292,525,149,385,38.7,61,177,34.5,166,189,87.8,50,142,192,265,50,27,94,103,706,2.82,0.53,2017
28,Gabby Williams,44,1391,510,198,469,42.2,50,164,30.5,64,75,85.3,24,165,189,185,99,21,84,64,638,2.2,1.18,2017
29,Marina Mabrey,35,1103,504,179,488,36.7,66,244,27,80,92,87,17,129,146,141,24,10,98,100,406,1.44,0.25,2017
30,Natasha Howard,44,1060,500,200,362,55.2,6,33,18.2,94,132,71.2,86,204,290,66,52,25,85,119,648,0.78,0.61,2017
31,Chelsea Gray,44,1368,493,169,385,43.9,63,171,36.8,92,104,88.5,25,148,173,239,62,28,125,89,642,1.91,0.5,2017
32,Jewell Loyd,44,1245,491,166,427,38.9,100,262,38.2,59,71,83.1,49,93,142,81,52,11,53,85,451,1.53,0.98,2017
33,Shakira Austin,38,874,481,191,411,46.5,2,15,13.3,97,146,66.4,57,185,242,68,41,43,92,81,514,0.74,0.45,2017
34,Erica Wheeler,44,1126,455,168,420,40,76,204,37.3,43,50,86,17,102,119,144,56,9,68,112,456,2.12,0.82,2017
35,Arike Ogunbowale,29,966,450,147,404,36.4,48,158,30.4,108,116,93.1,10,62,72,120,39,7,60,74,363,2,0.65,2017
36,Ariel Atkins,34,970,447,162,365,44.4,43,119,36.1,80,93,86,23,91,114,122,53,24,84,102,460,1.45,0.63,2017
37,Angel Reese,30,947,440,153,334,45.8,4,22,18.2,130,172,75.6,123,254,377,110,44,20,118,103,650,0.93,0.37,2017
38,Kahleah Copper,28,752,438,153,361,42.4,57,151,37.7,75,88,85.2,11,70,81,43,30,5,62,73,314,0.69,0.48,2017
39,Jonquel Jones,31,830,423,150,306,49,53,125,42.4,70,91,76.9,45,206,251,85,15,33,65,79,565,1.31,0.23,2017
40,Natasha Cloud,41,1191,414,151,349,43.3,52,154,33.8,60,69,87,14,137,151,211,49,14,77,119,555,2.74,0.64,2017
41,Janelle Salaün,36,973,407,147,362,40.6,63,172,36.6,50,62,80.6,32,151,183,43,22,3,53,70,378,0.81,0.42,2017
42,Alanna Smith,42,1114,404,160,330,48.5,53,161,32.9,31,65,47.7,65,149,214,121,55,80,65,116,605,1.86,0.85,2017
43,Natisha Hiedeman,44,833,399,151,307,49.2,46,124,37.1,51,67,76.1,11,71,82,123,32,9,54,71,419,2.28,0.59,2017
44,Rachel Banham,44,1081,396,129,337,38.3,86,241,35.7,52,59,88.1,6,68,74,119,26,11,71,84,340,1.68,0.37,2017
45,Sami Whitcomb,43,1027,390,129,335,38.5,86,238,36.1,46,54,85.2,16,97,113,108,33,7,67,90,370,1.61,0.49,2017
46,Brittney Griner,39,810,382,156,301,51.8,5,19,26.3,65,85,76.5,36,167,203,33,5,47,59,75,446,0.56,0.09,2017
47,Naz Hillmon,44,1122,380,139,300,46.3,53,165,32.1,49,59,83.1,69,202,271,105,21,19,50,74,575,2.1,0.42,2017
48,Saniya Rivers,42,1097,371,142,349,40.7,43,126,34.1,44,59,74.6,29,89,118,113,62,38,62,70,418,1.82,1,2017
49,Elizabeth Williams,43,906,364,157,327,48,0,0,0,50,81,61.7,79,144,223,78,31,39,56,62,478,1.39,0.55,2017
50,Ezi Magbegor,44,1203,353,141,286,49.3,14,48,29.2,57,83,68.7,85,187,272,92,30,96,43,126,629,2.14,0.7,2017
51,NaLyssa Smith,45,956,342,134,267,50.2,8,27,29.6,66,108,61.1,74,157,231,33,25,29,51,131,434,0.65,0.49,2017
52,Bria Hartley,38,867,337,106,293,36.2,54,147,36.7,71,92,77.2,11,64,75,117,29,0,69,95,281,1.7,0.42,2017
53,Maddy Siegrist,26,702,330,132,269,49.1,26,81,32.1,40,58,69,52,59,111,21,19,15,14,50,327,1.5,1.36,2017
54,DeWanna Bonner,33,778,325,105,257,40.9,40,120,33.3,75,86,87.2,29,108,137,38,28,9,28,43,346,1.36,1,2017
55,Dominique Malonga,42,600,323,145,263,55.1,4,18,22.2,29,51,56.9,54,141,195,36,17,28,48,87,411,0.75,0.35,2017
56,Leonie Fiebich,37,1041,321,108,221,48.9,51,120,42.5,54,62,87.1,23,108,131,64,34,14,45,90,398,1.42,0.76,2017
