Rank,Player,Team,Salary_USD,Season
316,Kyshawn George,Washington Wizards,2825520,2024-25
317,AJ Johnson,Washington Wizards,2795294,2024-25
318,Marcus Sasser,Detroit Pistons,2755080,2024-25
319,MarJon Beauchamp,New York Knicks,2733720,2024-25
320,Trendon Watford,Brooklyn Nets,2726603,2024-25
321,Ben Sheppard,Indiana Pacers,2663880,2024-25
322,Omer Yurtseven,Utah Jazz,2660000,2024-25
323,Keita Bates-Diop,Minnesota Timberwolves,2654644,2024-25
324,Blake Wesley,San Antonio Spurs,2624280,2024-25
325,Dillon Jones,Oklahoma City Thunder,2622360,2024-25
326,Nick Smith Jr.,Charlotte Hornets,2587200,2024-25
327,Brice Sensabaugh,Utah Jazz,2571480,2024-25
328,Ty Jerome,Cleveland Cavaliers,2560975,2024-25
329,Julian Strawther,Denver Nuggets,2552520,2024-25
330,Terrence Shannon Jr.,Minnesota Timberwolves,2546640,2024-25
331,Ryan Dunn,Phoenix Suns,2538240,2024-25
332,Wendell Moore Jr.,Charlotte Hornets,2537040,2024-25
333,Kobe Brown,LA Clippers,2533920,2024-25
334,Isaiah Collier,Utah Jazz,2520120,2024-25
335,Baylor Scheierman,Boston Celtics,2494320,2024-25
336,Nikola Jovic,Miami Heat,2464200,2024-25
337,Darius Bazley,Utah Jazz,2463946,2024-25
338,Jaxson Hayes,Los Angeles Lakers,2463946,2024-25
339,Cam Reddish,Los Angeles Lakers,2463946,2024-25
340,Patrick Baldwin Jr.,LA Clippers,2448840,2024-25
341,DaQuan Jeffries,Charlotte Hornets,2425204,2024-25
342,Tristan Vukcevic,Washington Wizards,2424892,2024-25
343,Peyton Watson,Denver Nuggets,2413560,2024-25
344,Aleksej Pokusevski,Charlotte Hornets,2273252,2024-25
345,Mamadi Diakite,Phoenix Suns,2273252,2024-25
346,Charlie Brown Jr.,Memphis Grizzlies,2237692,2024-25
347,James Wiseman,Indiana Pacers,2237691,2024-25
348,Anthony Gill,Washington Wizards,2237691,2024-25
349,Kevin Porter Jr.,Milwaukee Bucks,2237691,2024-25
350,Xavier Tillman,Boston Celtics,2237691,2024-25
351,Garrison Mathews,Atlanta Hawks,2230253,2024-25
352,Eugene Omoruyi,Toronto Raptors,2196970,2024-25
353,Dalano Banton,Portland Trail Blazers,2196970,2024-25
354,Jeff Dowtin Jr.,Philadelphia 76ers,2196970,2024-25
355,Lindy Waters III,Detroit Pistons,2196970,2024-25
356,Kai Jones,Dallas Mavericks,2196970,2024-25
357,Jeremiah Robinson-Earl,New Orleans Pelicans,2196970,2024-25
358,Sam Merrill,Cleveland Cavaliers,2164993,2024-25
359,Duane Washington Jr.,Charlotte Hornets,2162607,2024-25
360,Keon Johnson,Brooklyn Nets,2162606,2024-25
361,Luka Garza,Minnesota Timberwolves,2162606,2024-25
362,Neemias Queta,Boston Celtics,2162606,2024-25
363,Vit Krejci,Atlanta Hawks,2162606,2024-25
364,Vince Williams Jr.,Memphis Grizzlies,2120693,2024-25
365,A.J. Lawson,Toronto Raptors,2120693,2024-25
366,Colby Jones,Washington Wizards,2120693,2024-25
367,Keon Ellis,Sacramento Kings,2120693,2024-25
368,Kendall Brown,Boston Celtics,2120693,2024-25
369,AJ Green,Milwaukee Bucks,2120693,2024-25
370,Stanley Umude,Milwaukee Bucks,2120693,2024-25
371,E.J. Liddell,Chicago Bulls,2120693,2024-25
372,Jericho Sims,Milwaukee Bucks,2092344,2024-25
373,Sam Hauser,Boston Celtics,2092344,2024-25
374,Jay Huff,Memphis Grizzlies,2088033,2024-25
375,Seth Curry,Charlotte Hornets,2087519,2024-25
376,Taj Gibson,Charlotte Hornets,2087519,2024-25
377,Scotty Pippen Jr.,Memphis Grizzlies,2087519,2024-25
378,Bruno Fernando,Toronto Raptors,2087519,2024-25
379,Garrett Temple,Toronto Raptors,2087519,2024-25
380,Reggie Jackson,Philadelphia 76ers,2087519,2024-25
